RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DURATION,CURRENT_SAC_END_TIME,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_TIME,TRIAL_INDEX,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,TRIAL_LABEL
alcohol_01,23.41,316.3,FALSE,74,1302,4,498.42,157001,1229,9,8,155740,Trial: 9
alcohol_01,15.41,49.88,TRUE,309,2268,5,1165.39,157743,1960,9,8,155740,Trial: 9
alcohol_01,3.24,98.14,FALSE,33,3003,6,159.79,158725,2971,9,8,155740,Trial: 9
alcohol_01,0.86,61.54,FALSE,14,3685,7,64.44,159418,3672,9,8,155740,Trial: 9
alcohol_01,0.55,55.04,FALSE,10,4074,8,49.46,159810,4065,9,8,155740,Trial: 9
alcohol_01,9.52,46.46,TRUE,205,448,1,1063.69,160869,244,10,9,160554,Trial: 10
alcohol_01,1.72,78.06,FALSE,22,712,2,120.23,161256,691,10,9,160554,Trial: 10
alcohol_01,16.98,226.37,FALSE,75,913,3,365.13,161421,839,10,9,160554,Trial: 10
alcohol_01,22.53,326.47,FALSE,69,1226,4,602.94,161733,1158,10,9,160554,Trial: 10
alcohol_01,1.35,61.39,FALSE,22,1418,5,105.04,161962,1397,10,9,160554,Trial: 10
alcohol_01,6.61,120.13,FALSE,55,1890,6,228.73,162406,1836,10,9,160554,Trial: 10
alcohol_01,6.74,134.89,FALSE,50,2311,7,199.85,162832,2262,10,9,160554,Trial: 10
alcohol_01,0.56,56.01,FALSE,10,3806,8,49.52,164355,3797,10,9,160554,Trial: 10
alcohol_01,0.44,2.07,TRUE,211,4152,9,1427.41,164516,3942,10,9,160554,Trial: 10
alcohol_01,1.13,53.71,FALSE,21,70,1,87.16,164883,50,11,11,164825,Trial: 11
alcohol_01,3.4,97.27,FALSE,35,430,2,165.95,165233,396,11,11,164825,Trial: 11
alcohol_01,8.44,196.34,FALSE,43,700,3,341.9,165500,658,11,11,164825,Trial: 11
alcohol_01,0.46,50.93,FALSE,9,892,4,44.66,165713,884,11,11,164825,Trial: 11
alcohol_01,22.87,297.05,FALSE,77,1107,5,451.51,165892,1031,11,11,164825,Trial: 11
alcohol_01,1.8,78.26,FALSE,23,1273,6,121.3,166087,1251,11,11,164825,Trial: 11
alcohol_01,20.28,61.45,TRUE,330,2342,7,1521.23,166882,2013,11,11,164825,Trial: 11
alcohol_01,1.77,84.47,FALSE,21,2770,8,126.95,167586,2750,11,11,164825,Trial: 11
alcohol_01,1.06,62.1,FALSE,17,3412,9,76.88,168228,3396,11,11,164825,Trial: 11
alcohol_01,8.5,188.86,FALSE,45,3731,10,304.18,168532,3687,11,11,164825,Trial: 11
alcohol_01,1.81,82.15,FALSE,22,3884,11,131.19,168698,3863,11,11,164825,Trial: 11
alcohol_01,6.67,138.92,FALSE,48,311,1,243.52,169551,264,12,11,169271,Trial: 12
alcohol_01,2.5,96.27,FALSE,26,708,2,156.08,169967,683,12,11,169271,Trial: 12
alcohol_01,0.99,58.24,FALSE,17,845,3,73.52,170107,829,12,11,169271,Trial: 12
alcohol_01,20.95,279.4,FALSE,75,1513,4,443.57,170742,1439,12,11,169271,Trial: 12
alcohol_01,3.19,106.44,FALSE,30,1649,5,196.48,170905,1620,12,11,169271,Trial: 12
alcohol_01,11.13,70.92,TRUE,157,2027,6,512.43,171194,1871,12,11,169271,Trial: 12
alcohol_01,4.65,129.07,FALSE,36,2327,7,260.61,171577,2292,12,11,169271,Trial: 12
alcohol_01,2.4,92.37,FALSE,26,2861,8,158.25,172119,2836,12,11,169271,Trial: 12
alcohol_01,2.06,89.4,FALSE,23,3665,9,145.21,172925,3643,12,11,169271,Trial: 12
alcohol_01,0.76,42.47,FALSE,18,3826,10,61.19,173086,3809,12,11,169271,Trial: 12
alcohol_01,0.49,2.04,TRUE,240,4322,11,1364.44,173374,4083,12,11,169271,Trial: 12
alcohol_01,4.24,108.64,FALSE,39,488,1,192.36,174087,450,13,11,173623,Trial: 13
alcohol_01,6.55,159.73,FALSE,41,730,2,298.82,174328,690,13,11,173623,Trial: 13
alcohol_01,1.31,62.52,FALSE,21,859,3,103.09,174471,839,13,11,173623,Trial: 13
alcohol_01,22.89,309.38,FALSE,74,1135,4,478.42,174717,1062,13,11,173623,Trial: 13
alcohol_01,18.27,50.05,TRUE,365,2111,5,1297.36,175427,1747,13,11,173623,Trial: 13
alcohol_01,3.97,124.1,FALSE,32,2311,6,213.51,175916,2280,13,11,173623,Trial: 13
alcohol_01,1.41,74.3,FALSE,19,2931,7,98.76,176546,2913,13,11,173623,Trial: 13
alcohol_01,2.82,104.51,FALSE,27,3591,8,159.57,177201,3565,13,11,173623,Trial: 13
alcohol_01,6.66,166.45,FALSE,40,3740,9,285.45,177342,3701,13,11,173623,Trial: 13
alcohol_01,1.69,76.67,FALSE,22,3891,10,122.52,177504,3870,13,11,173623,Trial: 13
alcohol_01,0.91,60.55,FALSE,15,4296,11,69.7,177911,4282,13,11,173623,Trial: 13
alcohol_01,0.69,49.15,FALSE,14,52,1,54.49,178375,39,14,9,178331,Trial: 14
alcohol_01,5.61,130.53,FALSE,43,413,2,232.4,178717,371,14,9,178331,Trial: 14
alcohol_01,5.88,139.92,FALSE,42,733,3,262.32,179038,692,14,9,178331,Trial: 14
alcohol_01,0.51,50.56,FALSE,10,897,4,46.02,179224,888,14,9,178331,Trial: 14
alcohol_01,22.52,288.72,FALSE,78,1207,5,437.5,179498,1130,14,9,178331,Trial: 14
alcohol_01,1.61,76.88,FALSE,21,1442,6,113.52,179763,1422,14,9,178331,Trial: 14
alcohol_01,20.57,67.22,TRUE,306,1990,7,875.88,180108,1685,14,9,178331,Trial: 14
alcohol_01,7.19,153.04,FALSE,47,2255,8,246.76,180557,2209,14,9,178331,Trial: 14
alcohol_01,1.01,53.36,FALSE,19,3187,9,71.19,181507,3169,14,9,178331,Trial: 14
alcohol_01,2.05,7.15,TRUE,287,449,1,1176.54,182918,163,15,10,182519,Trial: 15
alcohol_01,10.73,206.4,FALSE,52,831,2,352.04,183319,780,15,10,182519,Trial: 15
alcohol_01,1.23,64.82,FALSE,19,991,3,93.01,183501,973,15,10,182519,Trial: 15
alcohol_01,21.74,293.79,FALSE,74,1454,4,464.65,183933,1381,15,10,182519,Trial: 15
