condition,id,trial,peak_time,peak_point,freqency,trial_start,amplitude,avg_velocity,duration,sac_end_time,sac_index,peak_velocity,sac_peak_velocity_time,sac_start_time,trial_saccade_total,trial_start_time
alcohol,4,38,9.428571428571429,0.48815647956707126,9.0,177899.0,1.1457142857142857,1.1457142857142857,21.571428571428573,2201.285714285714,4.571428571428571,93.99857142857142,4469550.142857143,2180.714285714286,9.0,4467361.0
alcohol,4,39,8.5,0.4449839877471456,8.0,182649.0,0.9650000000000002,0.9650000000000002,19.5,2477.5,4.833333333333333,82.255,4474577.5,2459.0,8.0,4472111.0
alcohol,4,40,8.4,0.4088709677419355,6.0,187785.0,0.8920000000000001,0.8920000000000001,21.6,1292.8,3.2,85.28,4478526.6,1272.2,6.0,4477247.0
alcohol,4,41,9.25,0.3488859356320787,10.0,192700.0,1.23375,1.23375,27.125,2500.125,5.75,118.04875,4484644.25,2474.0,10.0,4482162.0
alcohol,4,42,8.4,0.5147049689440995,8.0,197194.0,0.768,0.768,18.0,2227.2,4.4,65.53599999999999,4488873.6,2210.2,8.0,4486656.0
alcohol,4,43,6.714285714285714,0.374475296191351,9.0,201946.0,0.6185714285714285,0.6185714285714285,18.0,2103.1428571428573,4.0,57.64,4493499.857142857,2086.1428571428573,9.0,4491408.0
alcohol,4,44,10.125,0.40986201298701297,8.0,207208.0,1.79,1.79,24.875,2718.75,4.5,127.0525,4499374.0,2694.875,8.0,4496670.0
alcohol,4,45,7.625,0.42697443203063074,9.0,211850.0,0.9299999999999999,0.9299999999999999,17.875,1927.75,5.125,81.005,4503229.5,1910.875,9.0,4501312.0
alcohol,4,46,9.25,0.4045643227386649,9.0,216202.0,0.9375,0.9375,24.75,3188.125,5.375,103.54625,4508836.625,3164.375,9.0,4505664.0
alcohol,4,47,11.1,0.4748105090625113,12.0,221449.0,1.1969999999999998,1.1969999999999998,24.1,2659.4,6.3,108.647,4513557.4,2636.3,12.0,4510911.0
alcohol,4,48,10.777777777777779,0.4610979850877549,11.0,226474.0,1.261111111111111,1.261111111111111,23.666666666666668,2402.1111111111113,6.333333333333333,111.95444444444445,4518325.222222222,2379.4444444444443,11.0,4515936.0
alcohol,4,49,14.636363636363637,0.40824918722245035,11.0,234188.0,5.11090909090909,5.11090909090909,37.90909090909091,2026.7272727272727,6.0,253.07909090909087,4525653.454545454,1989.8181818181818,11.0,4523650.0
alcohol,4,50,13.636363636363637,0.4354290619678665,11.0,238571.0,5.153636363636363,5.153636363636363,34.09090909090909,3442.5454545454545,6.0,241.63454545454545,4531455.090909091,3409.4545454545455,11.0,4528033.0
alcohol,4,51,13.571428571428571,0.37136939959301696,10.0,244332.0,6.242857142857145,6.242857142857145,37.42857142857143,2248.1428571428573,4.428571428571429,246.92428571428573,4536018.285714285,2211.714285714286,10.0,4533794.0
alcohol,4,52,15.875,0.37321411707874896,9.0,250536.0,5.21375,5.21375,71.75,2336.25,4.5,240.30874999999997,4542278.375,2265.5,9.0,4539998.0
alcohol,4,53,12.181818181818182,0.4377013276292711,12.0,254876.0,3.061818181818182,3.061818181818182,29.181818181818183,2069.181818181818,6.090909090909091,155.9181818181818,4546390.181818182,2041.0,12.0,4544338.0
alcohol,4,54,14.5,0.38414398298106783,11.0,260105.0,5.2562500000000005,5.2562500000000005,40.25,2656.375,4.875,234.83999999999997,4552197.625,2617.125,11.0,4549567.0
alcohol,4,55,14.5,0.4131902794561597,8.0,267115.0,5.423333333333333,5.423333333333333,35.666666666666664,2314.6666666666665,4.333333333333333,262.54833333333335,4558870.5,2280.0,8.0,4556577.0
alcohol,4,56,11.333333333333334,0.463947622884459,13.0,272103.0,2.516666666666667,2.516666666666667,25.5,2471.5,6.583333333333333,147.43166666666667,4564022.333333333,2447.0,13.0,4561565.0
alcohol,4,57,15.0,0.4620429097182525,9.0,276871.0,5.441428571428571,5.441428571428571,36.57142857142857,3342.5714285714284,5.0,248.33714285714285,4569654.0,3307.0,9.0,4566333.0
alcohol,4,58,12.833333333333334,0.4076855481957047,8.0,282279.0,4.341666666666667,4.341666666666667,32.833333333333336,2448.6666666666665,4.0,223.6783333333333,4574169.666666667,2416.8333333333335,8.0,4571741.0
alcohol,4,59,12.333333333333334,0.38808700491066606,10.0,286859.0,3.528888888888889,3.528888888888889,32.666666666666664,2682.3333333333335,5.222222222222222,187.68888888888887,4578983.0,2650.6666666666665,10.0,4576321.0
alcohol,4,60,12.333333333333334,0.543015873015873,5.0,292205.0,2.3866666666666667,2.3866666666666667,22.666666666666668,2383.6666666666665,3.3333333333333335,152.64666666666668,4584040.333333333,2362.0,5.0,4581667.0
